"Order as Guest","Als Gast bestellen"
"Order as Guest Text","Weit hinten, hinter den Wortbergen, fern der Länder Vokalien und Konsonantien leben die Blindtexte. Abgeschieden wohnen sie in Buchstabhausen an der Küste des Semantik, eines großen Sprachozeans. Ein kleines Bächlein"
"Sign In","Anmelden"
"Sign In Text","Logge dich mit deinen Login-Daten ein."
"Shipping","Adresse"
"Sign Up Step","Anmelden"
"Shipping Methods","Versandkosten"
"Back to Website","Zurück zur Website"
"Continue as guest","Weiter"
"Cart Subtotal","Zwischensumme"
"Shipping Cost","Versandkosten"
"Order Total","Gesamtsumme (inkl. MwSt)"
"Order Summary","Zusammenfassung"
"This address is also my billing address","Rechnungsadresse entspricht Versandadresse"
"Sign Up for Newsletter Text","Ja, ich möchte durch den E-Mail Newsletter über Aktionen, Gutscheine und Neuigkeiten informiert werden. Jederzeit ist die Abmeldung möglich. (optional)"
"AGBs akzeptieren 1","Ja, ich stimme den "
"AGBs akzeptieren 2"," von DOVO Solingen zu."
"AGBs placeholder"," und den "
"AGB","AGB"
"Datenschutz","Datenschutzbestimmungen"
"AGBs akzeptieren","Ja, ich stimme den AGB und den Datenschutzbestimmungen von DOVO Solingen zu."
"AGB-Message","Bitte akzeptiere unsere AGB und Datenschutzvereinbarung, bevor du die Bestellung abschließen kannst."
"You will be redirected to the PayPal website.","Du wirst zur PayPal Website weitergeleitet."
"Street Address","Straße und Hausnummer"
"Address Additional","Adresszusatz"
"Register","Registrieren"