"Position","Relevance"
"Shop By","Active Filters"
"Bestsellers","Popularity"
"Order as Guest","Order as Guest"
"Order as Guest Text","Weit hinten, hinter den Wortbergen, fern der Länder Vokalien und Konsonantien leben die Blindtexte. Abgeschieden wohnen sie in Buchstabhausen an der Küste des Semantik, eines großen Sprachozeans. Ein kleines Bächlein"
"Anwendung","guide"
"Pflege","maintenance"
"Artikelnummer","Articlenumber"
"Anderen davon erzählen","Share with others"
"Lieferzeit","Delivery"
"Tage","Days"
"Kostenfreier Versand","Free Shipping"
"ab","from"
"Eigenschaften","Properties"
"Hast du Fragen zu diesem Produkt?","Do you have questions?"
"Kontaktiere uns per Chat oder Anfrage-Formular und wir beantworten dir alles was über dieses Produkt zu wissen gibt.","Contact us now via Chat or contact form and we’ll tell you everything about this product you may want to know."
"Kontaktformular","Contact us"
"Chat starten","Start Chat"
"Ähnlich","similar"
"Passend","compatible"
"zu deinem","to your"
"zu deinen","to your"
"Produkt","product"
"Produkten","products"
"Entdecke unsere DOVO und MERKUR Produkte in unserem neuen Online Shop - von Pinzette über Rasiermesser bis hin zum Rasierhobel. Hier findest du alles rund um die Nassrasur und Maniküre sowie Pediküre.","Discover our new online shop! Here you find nearly every MERKUR and DOVO product for your traditional wet shave, beard care and manicure and pedicure."
"Jetzt online Einkaufen","Shop online now"
"Alle Produkte","All Products"
"klassische Shop-Ansicht","classic shop view"
"Voraussichtliche Lieferung","Estimate Shipping"
"Now Shopping by","Active filter"
"inkl MwSt., zzgl. Versandkosten","incl. VAT, plus shipping cost"
"Sichere Bestellung","Secure Payment"
"Wir akzeptieren","We accept"
"Die gesuchte Seite konnte leider nicht gefunden werden.","The requested page could not be found unfortunately."
"Kehre zur Startseite zurück oder erfahre mehr über unsere Produkte.","Return to the home page or learn more about our products."
"Zurück zur Startseite","Back to Homepage"
"Erfahre mehr über unsere Produkte","LEARN MORE ABOUT OUR PRODUCTS"
"Zum Shop","Back to Shop"
"Unsere","Our"
"beliebtesten","popular"
"Produkte","products"
"Ansehen","See more"
"Kundenservice","Service"
"Hilfecenter","Help center"
"mehr erfahren","learn more"
"Pflegetipps","Care Tips"
"Besuche uns auf Social Media","Follow us on Social Media"
"Weiter","Continue"
"Sign Up for Newsletter Text","Yes, I would like to be informed about promotions, vouchers and news through the e-mail newsletter. You can unsubscribe at any time. (Optional)"
"Zurück zum Shop","Back to Shop"
"Impressum","Imprint"
"Zahlungs- und Lieferbedingungen","Shipping and Payment"
"Hast du Fragen über unsere Produkte?","Do you have questions about our products?"
"Kontaktiere uns per Chat oder Anfrage-Formular und wir beantworten dir alles was es über unsere Produkte zu wissen gibt.","Contact us now via Chat or contact form and we’ll tell you everything about our products you may want to know."
"<a href='https://dovo.com/liefer-und-zahlungsbedingungen' target='_blank'>zzgl. Versandkosten</a>","<a href='https://dovo.com/en/shipping-and-payment' target='_blank'>plus Shipping</a>"
"inkl MwSt.","incl. VAT"
"zzgl. Versandkosten","plus Shipping"
"zzgl. Versand","plus Shipping"
"Kategorien & Suche","Categories & Search"
"Achtung! Aktuell versenden wir aus technischen Gründen ausschließlich nach Deutschland! In wenigen Tagen wird ein Versand in andere Länder wieder möglich sein.","Attention! For technical reasons we are currently only shipping to Germany! In a few days, shipping to other countries will be possible again."
"Auch wir bei DOVO feiern Weihnachten! Werksferien ab dem 22.12.2020. Eingehende Bestellugen werden wieder ab dem 04.01.2021 bearbeitet.","We at DOVO celebrate Christmas too! Company holidays from December 22nd, 2020. Incoming orders will be processed again from January 4th, 2021."
"Kostenfreie Telefon-Rasiermesserberatung buchen","Book a free telephone razor consultation"
"ehemals","former"
"Als Gast fortfahren","Proceed as a Guest"