item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Best Quality	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p>Griffmaterial<p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p>Schliff<p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p>Klingenbeschreibung<p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p>Klingenbreite<p>Rasiermesser in der Größe 5/8 Zoll sind echte Allrounder und können jede Aufgabe rund um die klassische Nassrasur mit Bravour bestehen. Die Klinge ist relativ schwer und kann deshalb ohne großen Druck sanft über deine Haut gleiten. Gleichzeitig ist sie noch wendig genug, um auch technisch anspruchsvollere Passagen rund um Nase, Ohren und Kinn agil bewerkstelligen zu können.</p>	0331YG3C4AU	100581	99	9	31/03/2021 11:14:02 MEST		y	4			11				B001ASQ2K8						4045284007426			0	DEFAULT	Modello Amazon predefinito	Active		
Best Quality	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p>Griffmaterial<p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p>Schliff<p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p>Klingenbeschreibung<p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p>Klingenbreite<p>Eine breite Klinge eignet sich vor allem für Herren mit starkem Bartwuchs oder dickeren Haaren. Ein Rasiermesser in 6/8 Zoll gleitet unbeirrt auch durch dichteste Gesichtsbehaarung. Der erfahrene Barbier schätzt das hohe Eigengewicht der Klinge und das daraus resultierende ruhige Laufverhalten. Vor allem auf glatten Gesichtspartien erzielst du so eine unerreicht gründlich sowie komfortable Rasur.</p>	0324YZM535G	100681	109	7	24/03/2021 11:54:20 MET		y	4			11				B001B0M8NU						4045284007457			0	DEFAULT	Modello Amazon predefinito	Active		
Best Quality	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p>Griffmaterial<p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p>Schliff<p>Der halbhohle Schliff vereint die individuellen Vorteile des vollhohlen und derben Schliffs. Einerseits weist die Klinge immer noch genug Flexibilität auf, um sich deiner Haut anzupassen und eine sehr sanfte Rasur zu bewerkstelligen, andererseits kann sie es auch bestens mit festeren Bartstoppeln oder starkem Bartwuchs aufnehmen.</p>Klingenbeschreibung<p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p>Klingenbreite<p>Rasiermesser in der Größe 5/8 Zoll sind echte Allrounder und können jede Aufgabe rund um die klassische Nassrasur mit Bravour bestehen. Die Klinge ist relativ schwer und kann deshalb ohne großen Druck sanft über deine Haut gleiten. Gleichzeitig ist sie noch wendig genug, um auch technisch anspruchsvollere Passagen rund um Nase, Ohren und Kinn agil bewerkstelligen zu können.</p>	0405YQ9RIHB	101581	89	6	05/04/2021 17:22:20 MEST		y	4			11				B000ZXB8YY						4045284007518			0	DEFAULT	Modello Amazon predefinito	Active		
Forestal	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p>Griffmaterial<p>Rotholz eignet sich vortrefflich zur Herstellung eines Rasiermesserhefts. Dieses natürliche Material ist hart genug, um auch in einer feuchten Umgebung seine Form zu halten und die geringen Fertigungstoleranzen zu bewahren. Das seidenmatt polierte Holz liefert ein einzigartiges Farbspiel und die schimmernden Rottöne werden deine Blicke auf sich ziehen.</p>Schliff<p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p>Klingenbeschreibung<p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p>Klingenbreite<p>Rasiermesser in der Größe 5/8 Zoll sind echte Allrounder und können jede Aufgabe rund um die klassische Nassrasur mit Bravour bestehen. Die Klinge ist relativ schwer und kann deshalb ohne großen Druck sanft über deine Haut gleiten. Gleichzeitig ist sie noch wendig genug, um auch technisch anspruchsvollere Passagen rund um Nase, Ohren und Kinn agil bewerkstelligen zu können.</p>	0405YQ821V2	1165831	159	7	05/04/2021 17:22:09 MEST		y	4			11				B078B5PS8L						4045284008799			0	DEFAULT	Modello Amazon predefinito	Active		
Special	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p>Griffmaterial<p>Schon seit der Antike wird das teure Schildpatt zur Herstellung von exquisiter Kunst und Mobiliar verwendet. Früher wurde es fast mit Gold aufgewogen und schmückt seither unzählige Königshöfe. Um die vom Aussterben bedrohte Schildkröte zu schützen, arbeiten wir ausschließlich mit einem Imitat aus seidenmatt poliertem Acrylglas.</p>Schliff<p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p>Klingenbeschreibung<p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p>Klingenbreite<p>Rasiermesser in der Größe 5/8 Zoll sind echte Allrounder und können jede Aufgabe rund um die klassische Nassrasur mit Bravour bestehen. Die Klinge ist relativ schwer und kann deshalb ohne großen Druck sanft über deine Haut gleiten. Gleichzeitig ist sie noch wendig genug, um auch technisch anspruchsvollere Passagen rund um Nase, Ohren und Kinn agil bewerkstelligen zu können.</p>	0324YZPL6MC	1516580	139	14	24/03/2021 12:00:24 MET		y	4			11				B0028BDLTQ						4045284007815			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Abziehriemen 185	Leder<p>Für unsere Riemen verwenden wir ausschließlich vegetabil gegerbtes Rindleder. Diese auch unter dem Namen „Altgerben” bekannte Technik bereitet das Rindleder optimal auf die Nutzung als Streichriemen vor. Das Besondere an diesem Leder ist, dass es keine Vernarbungen oder Unebenheiten aufweist und daher mit seiner weichen Oberfläche perfekt zum Abziehen von Rasiermessern geeignet ist.</p>	0405YQ3PW3V	18535001	55	10	05/04/2021 17:07:50 MEST		y	4			11				B002VRUEWO						4045284009239			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Spannschraubriemen 186	Leder<p>Für unsere Riemen verwenden wir ausschließlich vegetabil gegerbtes Rindleder. Diese auch unter dem Namen „Altgerben” bekannte Technik bereitet das Rindleder optimal auf die Nutzung als Streichriemen vor. Das Besondere an diesem Leder ist, dass es keine Vernarbungen oder Unebenheiten aufweist und daher mit seiner weichen Oberfläche perfekt zum Abziehen von Rasiermessern geeignet ist.</p>	0405YQ3UQ36	186210011	75	5	05/04/2021 17:07:11 MEST		y	4			11				B074CQMV8W						4045284010365			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Shavette Edelstahl	Material<p>Diese Shavette wird aus Edelstahl gefertigt. Das Metall zeigt gute Korrosionsbeständigkeit gegen Seifen, Wasser sowie Wasserdampf und ist daher ideal für die Herstellung von hochwertigen Kosmetikprodukten geeignet. Wenn du lieber mit etwas schwereren Wechselklingenmessern arbeitest, dann solltest du zu diesem Modell greifen. Das polierte Finish macht die Shavette zu einem absoluten Blickfang.</p>Griffmaterial<p>Das Heft dieser Shavette haben wir aus rostfreiem Edelstahl gefertigt. Dieses Material ist ausgesprochen korrosionsbeständig gegen Wasser, Wasserdampf und Luftfeuchtigkeit. So ist es bestens für den Einsatz als Wechselklingenmesser geeignet. Die Mattierung sorgt dafür, dass du die Shavette auch mit feuchten Händen sicher greifen kannst. Darüber hinaus hilft dir das erhöhte Gewicht dabei, die Klinge mühelos über dein Gesicht gleiten zu lassen.</p>Lieferumfang<p>SHAVETTE 201006 <br> 2 Rasierklingenhalter transparent <br> MERKUR SUPER Klinge <br> Kunststoffhülle</p>	0324YZI2R45	201006	38	8	24/03/2021 12:45:20 MET		y	4			11				B001QJTYVA						4045284009338			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Shavette Ebenholz	Material<p>Diese Shavette wird aus Edelstahl gefertigt. Das Metall zeigt gute Korrosionsbeständigkeit gegen Seifen, Wasser sowie Wasserdampf und ist daher ideal für die Herstellung von hochwertigen Kosmetikprodukten geeignet. Wenn du lieber mit etwas schwereren Wechselklingenmessern arbeitest, dann solltest du zu diesem Modell greifen. Das polierte Finish macht die Shavette zu einem absoluten Blickfang.</p>Griffmaterial<p>Ebenholz zählt zu den wertvollsten Hölzern der Erde. Es ist ausgesprochen hart und schwer. Daher eignet es sich vortrefflich zur Herstellung eines hochwertigen Griffes. Seine Struktur ermöglicht es dem Holz, auch in feuchter Umgebung seine Form zu halten und nicht aufzuquellen. Mehrere Schleifdurchgänge sind nötig, um die seidenweiche Oberfläche zu erschaffen.</p>Lieferumfang<p>DOVO Shavette 201061 <br> 2 Rasierklingenhalter transparent <br> MERKUR SUPER Klinge <br> Metallbox blau</p>	0324YZI68SP	201061	55	7	24/03/2021 12:54:36 MET		y	4			11				B07CKK86C3						4045284010372			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Shavette Olivenholz	Material<p>Diese Shavette fertigen wir aus hochwertigem Aluminium. Durch das verwendete Eloxal-Verfahren wird die oberste Metallschicht verändert und erhält neben der edlen Materialanmutung auch korrosionsresistente Eigenschaften. Aluminium ist aufgrund der geringen Dichte ein wahres Leichtgewicht, was zu der einzigartigen Gewichtsverteilung dieser Shavette führt.</p>Griffmaterial<p>Olivenholz ist ein einzigartiger Werkstoff der Natur. Es ist härter als heimisches Eichen- oder Buchenholz und zeigt dabei eine hohe Widerstandsfähigkeit vor Schimmelbefall. Selbst unbehandelte Olive zeichnet sich schon durch eine überdurchschnittliche Resistenz gegenüber Wasser aus, was es natürlich zum perfekten Material für Rasiermesser, Rasierpinsel und Shavetten macht.</p>Lieferumfang<p>DOVO Shavette 201071 <br> 2 Rasierklingenhalter transparent <br> MERKUR SUPER Klinge <br> Metalbox blau</p>	0324YZOY5FY	201071	55	10	24/03/2021 12:57:18 MET		y	4			11				B01CG9KJCG						4045284010273			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Shavette	Material<p>Diese Shavette fertigen wir aus hochwertigem Aluminium. Durch das verwendete Eloxal-Verfahren wird die oberste Metallschicht verändert und erhält neben der edlen Materialanmutung auch korrosionsresistente Eigenschaften. Aluminium ist aufgrund der geringen Dichte ein wahres Leichtgewicht, was zu der einzigartigen Gewichtsverteilung dieser Shavette führt.</p>Griffmaterial<p>Polyamid ist ein thermoplastischer Kunststoff. Er zeichnet sich durch herausragende Festigkeit und chemische Beständigkeit aus. Aufgrund des geringen Gewichts ist es sehr gut für eine Shavette geeignet. So kannst du sie auch bequem auf langen Reisen oder kurzen Wochenendtrips dabei haben und musst nicht auf eine hochwertige Rasur verzichten.</p>Lieferumfang<p>SHAVETTE 201081 <br> 2 Rasierklingenhalter transparent <br> MERKUR SUPER Klinge <br> Kunststoffhülle</p>	0324YZT2HG4	201081	29	14	24/03/2021 12:59:21 MET		y	4			11				B009ZQHIWI						4045284009376			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Shavette	Material<p>Diese Shavette fertigen wir aus hochwertigem Aluminium. Durch das verwendete Eloxal-Verfahren wird die oberste Metallschicht verändert und erhält neben der edlen Materialanmutung auch korrosionsresistente Eigenschaften. Aluminium ist aufgrund der geringen Dichte ein wahres Leichtgewicht, was zu der einzigartigen Gewichtsverteilung dieser Shavette führt.</p>Griffmaterial<p>Das Heft dieser Shavette haben wir aus rostfreiem Edelstahl gefertigt. Dieses Material ist ausgesprochen korrosionsbeständig gegen Wasser, Wasserdampf und Luftfeuchtigkeit. So ist es bestens für den Einsatz als Wechselklingenmesser geeignet. Die Mattierung sorgt dafür, dass du die Shavette auch mit feuchten Händen sicher greifen kannst. Darüber hinaus hilft dir das erhöhte Gewicht dabei, die Klinge mühelos über dein Gesicht gleiten zu lassen.</p>Lieferumfang<p>SHAVETTE 201087 <br> 2 Rasierklingenhalter transparent <br> MERKUR SUPER Klinge <br> Kunststoffhülle</p>	0324YZR6T6C	201087	33	13	24/03/2021 12:59:45 MET		y	4			11				B002A8QUKY						4045284009390			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO Haarschere 20	Material<p>Dieses Instrument ist aus Edelstahl der Sorte 1.4034 gefertigt. Die Metalllegierung zeigt gute Korrosionsbeständigkeit gegen Seife oder Wasserdampf und ist daher ideal für die Herstellung hochwertiger Scheren geeignet. Darüber hinaus verfügt das Material über eine gute Schnitthaltigkeit und lässt sich präzise schleifen. Die mattierte Oberfläche fühlt sich ausgesprochen wertig an und kann auch mit feuchten Händen noch sicher gegriffen werden.</p>Schliff<p>Diese DOVO Schere ist mit unserem einseitig gezahnten Handschliff ausgestattet. Durch das Abziehen der Schneide auf einer Platte entsteht eine feine Riffelung. Diese Struktur hindert Haare, Barthaare, Fingernägel oder Nagelhaut dabei, von der Schneidkante abzurutschen. Daraus ergibt sich eine herausragend exakte und sichere Schnittführung.</p>Klingenbeschreibung<p>Bei Haar- und Bartscheren hat sich die Konstruktion mit einem bündigen Schliff als besonders vorteilhaft etabliert. Im Detail bedeutet das, dass die Scherenbecken vorne nicht spitz, sondern abgerundet sind. Das minimiert das Verletzungsrisiko und ist bei der Nutzung von Scheren im Gesichtsbereich zu empfehlen.</p>	0401YJ48HR6	20706	82.8	7	01/04/2021 13:53:43 MEST		y	4			11				B0032QG1CA						4045284000328			0	DEFAULT	Modello Amazon predefinito	Active		
Apex	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p>Griffmaterial<p>Ebenholz zählt zu den wertvollsten Hölzern der Erde. Es ist ausgesprochen hart und schwer. Daher eignet es sich vortrefflich zur Herstellung eines hochwertigen Griffes. Seine Struktur ermöglicht es dem Holz, auch in feuchter Umgebung seine Form zu halten und nicht aufzuquellen. Mehrere Schleifdurchgänge sind nötig, um die seidenweiche Oberfläche zu erschaffen.</p>Schliff<p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p>Klingenbeschreibung<p>Bei einem Rasiermesser mit klassischem Gradkopf endet die Schneide direkt vorne an der Spitze des Messers im 90°-Winkel. Mit etwas Übung erreichst du so formidable Ergebnisse sowohl beim exakten Formen von Konturen, als auch beim Ausrasieren von Grübchen. Eine solche Klingenausprägung ermöglicht dir absolute Präzision, sollte aber nur von erfahrenen Nutzern verwendet werden.</p>Klingenbreite<p>Rasiermesser in der Größe 5/8 Zoll sind echte Allrounder und können jede Aufgabe rund um die klassische Nassrasur mit Bravour bestehen. Die Klinge ist relativ schwer und kann deshalb ohne großen Druck sanft über deine Haut gleiten. Gleichzeitig ist sie noch wendig genug, um auch technisch anspruchsvollere Passagen rund um Nase, Ohren und Kinn agil bewerkstelligen zu können.</p>	0317YIK8NCI	255831	129	3	17/03/2021 13:35:55 MET		y	4			11				B0756TWLZJ						4045284007976			0	DEFAULT	Modello Amazon predefinito	Active		
Bismarck	Material<p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p>Griffmaterial<p>Natürliche Perlen werden schon seit über 7000 Jahren als kostbares Kleinod gehandelt. Der seidenmatte Glanz, kombiniert mit einem einmaligen Farbspiel machen sie bis heute zu einem gefragten Rohstoff bei der Schmuckproduktion. Aus ethischen Gründen arbeiten wir ausnahmslos mit einem Perlen-Imitat aus Acrylglas. Ausgewählte Fertigungsprozesse ermöglichen es das bekannte Kolorit perfekt zu replizieren.</p>Schliff<p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p>Klingenbeschreibung<p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p>Klingenbreite<p>Eine breite Klinge eignet sich vor allem für Herren mit starkem Bartwuchs oder dickeren Haaren. Ein Rasiermesser in 6/8 Zoll gleitet unbeirrt auch durch dichteste Gesichtsbehaarung. Der erfahrene Barbier schätzt das hohe Eigengewicht der Klinge und das daraus resultierende ruhige Laufverhalten. Vor allem auf glatten Gesichtspartien erzielst du so eine unerreicht gründlich sowie komfortable	0324YZHCTIB	26820	149	9	24/03/2021 11:42:17 MET		y	4			11				B008JAGNLS						4045284008300			0	DEFAULT	Modello Amazon predefinito	Active		
DOVO rasoio a mano libera Barbarossa - Rasoio dritto in acciaio al carbonio - 5/8 di pollice - testa spagnola - retro a punta - molatura completa - DOVO Solingen rasoio barbiere		0317YITNZ6C	305870	130	7	17/03/2021 13:33:46 MET		y	4			11				B07RWMG8M3						4045284008898			0	DEFAULT	Modello Amazon predefinito	Active		
